 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
Eb minor blues (6b), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
D# minor blues (6#), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
Gb dorian (6b), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
F# dorian (6#), 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 1, 3, 0, 3, 2, 0, 2, 1, 1, 0, 2, 0, 29
Gb phrygian (6b), 0, 1, 0, 4, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 3, 0, 3, 1, 0, 4, 1, 0, 0, 1, 0, 28
F# phrygian (6#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
Gb lydian (6b), 0, 7, 6, 3, 6, 5, 2, 3, 6, 11, 5, 0, 2, 2, 4, 0, 0, 0, 5, 7, 6, 3, 6, 5, 2, 12, 2, 110
F# lydian (6#), 0, 6, 3, 2, 4, 3, 1, 2, 3, 7, 3, 0, 1, 1, 2, 0, 0, 0, 4, 6, 3, 2, 4, 3, 1, 8, 1, 70
Gb mixolydian (6b), 1, 5, 7, 3, 6, 4, 4, 3, 8, 10, 4, 0, 3, 2, 4, 0, 1, 1, 5, 5, 7, 3, 6, 4, 4, 11, 2, 113
F# mixolydian (6#), 1, 4, 4, 2, 4, 2, 3, 2, 5, 6, 2, 0, 2, 1, 2, 0, 1, 1, 4, 4, 4, 2, 4, 2, 3, 7, 1, 73
Gb aeolian (6b), 1, 6, 6, 4, 5, 5, 3, 4, 7, 11, 4, 0, 2, 2, 4, 0, 0, 0, 6, 6, 6, 4, 5, 5, 3, 12, 2, 113
F# aeolian (6#), 1, 5, 3, 3, 3, 3, 2, 3, 4, 7, 2, 0, 1, 1, 2, 0, 0, 0, 5, 5, 3, 3, 3, 3, 2, 8, 1, 73
Gb locrian (6b), 1, 5, 5, 3, 4, 5, 4, 4, 6, 8, 2, 0, 4, 2, 2, 0, 1, 1, 5, 5, 5, 3, 4, 5, 4, 9, 2, 99
F# locrian (6#), 1, 4, 3, 2, 3, 3, 3, 3, 4, 5, 1, 0, 3, 1, 1, 0, 1, 1, 4, 4, 3, 2, 3, 3, 3, 6, 1, 68
Cb major (7b), 2, 4, 7, 4, 7, 4, 5, 4, 9, 10, 4, 0, 3, 2, 4, 0, 1, 1, 6, 4, 7, 4, 7, 4, 5, 11, 2, 121
C# major (7#), 0, 7, 4, 6, 4, 4, 2, 3, 4, 6, 4, 0, 2, 2, 3, 0, 0, 0, 4, 7, 4, 6, 4, 4, 2, 7, 2, 91
