 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
D# minor mel (6#), 2, 2, 2, 2, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 4, 0, 0, 33
Gb major blues (6b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
F# major blues (6#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
Eb minor blues (6b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
D# minor blues (6#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
Gb dorian (6b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
F# dorian (6#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 0, 0, 22
Gb phrygian (6b), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9
F# phrygian (6#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
Gb lydian (6b), 7, 2, 7, 2, 5, 2, 5, 0, 7, 0, 0, 4, 0, 5, 1, 4, 0, 5, 7, 2, 7, 2, 5, 2, 5, 0, 0, 86
F# lydian (6#), 5, 2, 5, 2, 3, 1, 4, 0, 5, 0, 0, 2, 0, 3, 1, 2, 0, 3, 5, 2, 5, 2, 3, 1, 4, 0, 0, 60
Gb mixolydian (6b), 7, 1, 7, 1, 7, 3, 5, 1, 7, 1, 1, 5, 1, 5, 1, 5, 1, 4, 7, 1, 7, 1, 7, 3, 5, 1, 1, 96
F# mixolydian (6#), 5, 1, 5, 1, 5, 2, 4, 1, 5, 1, 1, 3, 1, 3, 1, 3, 1, 2, 5, 1, 5, 1, 5, 2, 4, 1, 1, 70
Gb aeolian (6b), 8, 2, 8, 2, 6, 3, 6, 1, 8, 1, 1, 5, 1, 6, 2, 5, 1, 4, 8, 2, 8, 2, 6, 3, 6, 1, 1, 107
F# aeolian (6#), 6, 2, 6, 2, 4, 2, 5, 1, 6, 1, 1, 3, 1, 4, 2, 3, 1, 2, 6, 2, 6, 2, 4, 2, 5, 1, 1, 81
Gb locrian (6b), 7, 1, 7, 1, 7, 1, 5, 1, 7, 1, 1, 3, 1, 5, 1, 3, 1, 2, 7, 1, 7, 1, 7, 1, 5, 1, 1, 86
